cdid,item_name_kr,stat_code,time,data_value,unit
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2025Q4,53335.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2006Q1,42.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2006Q2,-447.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2006Q3,-3608.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2006Q4,-1767.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2007Q1,-3328.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2007Q2,-2200.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2007Q3,-5673.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2007Q4,-2904.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2008Q1,-619.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2008Q2,-4763.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2008Q3,-4425.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2008Q4,-11224.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2009Q1,-6984.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2009Q2,-5818.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2009Q3,838.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2009Q4,-1048.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2010Q1,146.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2010Q2,446.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2010Q3,-528.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2010Q4,643.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2011Q1,1702.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2011Q2,4809.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2011Q3,-449.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2011Q4,879.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2012Q1,-2474.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2012Q2,-3662.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2012Q3,-3447.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2012Q4,-6377.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2013Q1,-10875.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2013Q2,-4636.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2013Q3,-8034.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2013Q4,-8024.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2014Q1,-5860.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2014Q2,-6871.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2014Q3,-9677.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2014Q4,-10864.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2015Q1,-10019.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2015Q2,-5592.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2015Q3,-8416.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2015Q4,-17742.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2016Q1,-14804.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2016Q2,-13991.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2016Q3,-10295.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2016Q4,-7643.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2017Q1,-4507.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2017Q2,-8163.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2017Q3,-4805.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2017Q4,-4928.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2018Q1,-8586.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2018Q2,-6302.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2018Q3,-7183.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2018Q4,-7183.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2019Q1,-571.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2019Q2,2647.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2019Q3,-2560.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2019Q4,-1775.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2020Q1,-8765.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2020Q2,-21654.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2020Q3,-6142.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2020Q4,-8405.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2021Q1,226.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2021Q2,-107.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2021Q3,-1525.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2021Q4,1542.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2022Q1,-5103.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2022Q2,8711.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2022Q3,-2355.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2022Q4,113.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2023Q1,-10291.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2023Q2,-20353.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2023Q3,-4029.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2023Q4,-11275.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2024Q1,-10622.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2024Q2,-8546.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2024Q3,-13024.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2024Q4,-15213.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2025Q1,-7216.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2025Q2,-8195.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2025Q3,-739.0,GBP million
HBOJ,1차소득(PI),UK_BoP_Table_A_sub1,2025Q4,-2674.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2006Q1,-3219.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2006Q2,-2740.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2006Q3,-2774.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2006Q4,-3594.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2007Q1,-3043.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2007Q2,-3058.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2007Q3,-3126.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2007Q4,-4280.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2008Q1,-4019.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2008Q2,-3656.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2008Q3,-3542.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2008Q4,-2417.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2009Q1,-3750.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2009Q2,-4411.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2009Q3,-3798.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2009Q4,-3323.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2010Q1,-4556.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2010Q2,-4305.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2010Q3,-4923.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2010Q4,-6246.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2011Q1,-5394.0,GBP million
